id,source,dest,submit_tick,pickup_tick,dropoff_tick,wait_time,travel_time,total_time,elevator
passenger483,11,8,159,159,165,0,6,6,9
passenger484,15,17,160,164,169,4,5,9,10
passenger485,11,14,160,160,204,0,44,44,9
passenger486,12,8,160,200,240,40,40,80,9
passenger487,8,23,161,162,216,1,54,55,12
passenger488,17,3,161,169,203,8,34,42,10
passenger489,25,18,162,330,339,168,9,177,15
passenger490,2,19,162,247,270,85,23,108,11
passenger491,15,23,162,206,229,44,23,67,13
passenger492,13,8,162,181,192,19,11,30,10
passenger493,9,16,163,164,188,1,24,25,6
passenger494,21,23,163,419,491,256,72,328,15
passenger495,20,16,163,229,255,66,26,92,15
passenger496,13,9,163,225,254,62,29,91,10
passenger497,20,8,164,317,361,153,44,197,15
passenger498,7,22,164,165,213,1,48,49,12
passenger499,15,9,165,165,189,0,24,24,10
passenger500,22,25,166,233,242,67,9,76,15
passenger501,8,14,166,166,204,0,38,38,9
passenger502,13,18,166,200,212,34,12,46,13
passenger503,24,14,166,327,347,161,20,181,15
passenger504,20,15,166,422,431,256,9,265,15
passenger505,23,11,167,236,266,69,30,99,15
passenger506,10,11,167,167,170,0,3,3,6
passenger507,25,16,167,330,343,163,13,176,15
passenger508,4,2,167,167,177,0,10,10,1
passenger509,13,21,167,200,223,33,23,56,13
passenger510,12,15,167,174,185,7,11,18,6
passenger511,20,13,168,422,437,254,15,269,15
passenger512,23,16,169,324,343,155,19,174,15
passenger513,19,20,171,314,317,143,3,146,15
passenger514,16,2,171,172,206,1,34,35,10
passenger515,11,4,171,171,216,0,45,45,6
passenger516,13,4,172,177,216,5,39,44,6
passenger517,13,9,172,197,205,25,8,33,6
passenger518,1,4,172,172,177,0,5,5,5
passenger519,13,2,172,197,220,25,23,48,6
passenger520,22,19,172,233,250,61,17,78,15
passenger521,18,5,173,508,531,335,23,358,15
passenger522,20,16,173,422,428,249,6,255,15
passenger523,10,1,173,173,217,0,44,44,7
passenger524,14,20,173,203,220,30,17,47,13
passenger525,1,2,173,173,178,0,5,5,2
passenger526,10,13,174,174,183,0,9,9,7
passenger527,12,11,174,174,201,0,27,27,6
passenger528,7,2,175,175,182,0,7,7,4
passenger529,1,3,175,175,181,0,6,6,2
passenger530,18,20,176,564,570,388,6,394,15
passenger531,11,2,176,177,214,1,37,38,7
passenger532,11,25,176,480,538,304,58,362,11
passenger533,7,13,176,206,234,30,28,58,8
passenger534,14,9,176,176,189,0,13,13,10
passenger535,11,12,176,177,180,1,3,4,7
passenger536,12,18,177,401,439,224,38,262,11
passenger537,15,2,177,234,269,57,35,92,10
passenger538,1,11,177,183,197,6,14,20,9
passenger539,23,1,177,324,374,147,50,197,15
passenger540,2,17,177,180,214,3,34,37,9
passenger541,12,6,178,180,206,2,26,28,7
passenger542,6,17,178,190,214,12,24,36,9
passenger543,14,16,178,178,237,0,59,59,10
passenger544,8,14,178,203,237,25,34,59,8
passenger545,22,8,179,233,273,54,40,94,15
passenger546,10,5,179,197,210,18,13,31,8
passenger547,16,1,180,237,272,57,35,92,10
passenger548,7,18,181,183,200,2,17,19,12
passenger549,1,25,181,281,322,100,41,141,14
passenger550,11,10,181,181,197,0,16,16,8
passenger551,14,16,182,182,188,0,6,6,6
passenger552,12,23,183,185,236,2,51,53,15
passenger553,25,6,184,460,491,276,31,307,11
passenger554,18,8,184,185,230,1,45,46,11
passenger555,25,7,185,460,488,275,28,303,11
passenger556,8,18,186,186,200,0,14,14,12
passenger557,20,4,186,191,241,5,50,55,11
passenger558,14,9,187,187,200,0,13,13,8
passenger559,16,14,187,188,196,1,8,9,7
passenger560,25,24,187,538,541,351,3,354,11
passenger561,17,23,188,217,284,29,67,96,11
passenger562,5,19,188,188,215,0,27,27,13
passenger563,20,4,188,191,241,3,50,53,11
passenger564,23,18,188,201,214,13,13,26,11
passenger565,9,13,189,189,225,0,36,36,10
passenger566,13,23,189,262,324,73,62,135,15
passenger567,25,21,189,538,550,349,12,361,11
passenger568,17,3,190,191,211,1,20,21,7
passenger569,23,4,191,201,241,10,40,50,11
passenger570,5,2,191,192,203,1,11,12,5
passenger571,24,13,193,204,223,11,19,30,11
passenger572,6,3,193,195,200,2,5,7,5
passenger573,11,19,194,196,215,2,19,21,13
passenger574,25,14,195,538,561,343,23,366,11
passenger575,16,21,195,196,209,1,13,14,12
passenger576,23,7,196,201,233,5,32,37,11
passenger577,25,13,196,538,564,342,26,368,11
passenger578,24,3,196,204,244,8,40,48,11
passenger579,3,23,197,288,324,91,36,127,15
passenger580,17,5,197,243,263,46,20,66,7
passenger581,23,3,197,284,332,87,48,135,11
passenger582,18,6,197,200,261,3,61,64,12
passenger583,2,21,197,291,320,94,29,123,15
passenger584,22,3,198,198,244,0,46,46,11
passenger585,3,16,198,203,237,5,34,39,10
passenger586,1,19,198,374,396,176,22,198,15
passenger587,23,19,198,284,298,86,14,100,11
passenger588,6,5,198,209,212,11,3,14,5
