tick,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15
544,21,20,20,1,22,12,9,20,17,14,3,23,24,16,16,13
545,20,20,20,2,22,13,8,21,18,14,2,22,23,16,15,13
546,19,21,20,2,22,14,7,22,19,14,1,21,22,16,14,13
547,18,22,21,2,23,15,6,23,19,15,1,20,21,17,13,14
548,17,23,22,3,24,15,5,24,19,16,1,19,20,18,12,15
549,16,24,23,3,25,15,4,25,20,17,2,18,19,19,11,16
550,15,25,24,3,24,16,3,24,20,18,3,17,18,20,10,16
551,14,24,25,4,23,16,2,23,20,19,4,16,17,21,9,16
552,13,23,24,5,22,16,1,22,21,19,4,15,16,22,8,17
553,12,22,23,5,21,17,1,21,21,19,4,14,15,23,7,17
554,11,21,22,5,20,17,1,20,21,20,5,13,14,24,6,17
555,10,20,21,6,19,17,2,19,22,21,5,12,13,25,5,18
556,9,19,20,6,18,18,2,18,23,22,5,11,12,24,4,18
557,8,18,19,6,17,19,2,17,24,23,6,10,11,23,3,18
558,7,17,18,7,16,20,3,16,25,24,7,9,10,22,2,19
559,6,16,17,8,15,21,4,15,24,25,7,8,9,21,1,19
560,5,15,16,9,14,22,5,14,23,24,7,7,8,20,1,19
561,4,14,15,9,13,23,6,13,22,23,8,6,7,19,1,20
562,3,13,14,9,12,24,7,12,21,22,8,5,6,18,2,21
563,2,12,13,10,11,25,7,11,20,21,8,4,5,17,3,22
564,1,11,12,10,10,24,7,10,19,20,9,3,4,16,4,23
565,1,10,11,10,9,23,8,9,18,19,10,2,3,15,4,24
566,1,9,10,11,8,22,9,8,17,18,11,1,2,14,4,25
567,2,8,9,11,7,21,10,7,16,17,11,1,1,13,5,24
568,3,7,8,11,6,20,10,6,15,16,11,1,1,12,6,23
569,4,6,7,12,5,19,10,5,14,15,12,2,1,11,7,22
570,4,5,6,13,4,18,11,4,13,14,12,2,2,10,7,21
571,4,4,5,14,3,17,12,3,12,13,12,2,3,9,7,20
572,5,3,4,15,2,16,13,2,11,12,13,3,4,8,8,19
573,6,2,3,16,1,15,14,1,10,11,14,4,4,7,9,18
574,7,1,2,16,1,14,15,1,9,10,15,5,4,6,10,17
575,8,1,1,16,1,13,15,1,8,9,16,5,5,5,10,16
576,8,1,1,17,2,12,15,2,7,8,17,5,6,4,10,15
577,8,2,1,17,3,11,16,3,6,7,17,6,7,3,11,14
578,9,2,2,17,3,10,16,3,5,6,17,6,8,2,12,13
579,10,2,3,18,3,9,16,3,4,5,18,6,9,1,12,12
580,10,3,3,19,4,8,17,4,3,4,19,7,9,1,12,11
581,10,4,3,19,5,7,17,5,2,3,20,7,9,1,13,10
582,11,5,4,19,5,6,17,5,1,2,21,7,9,2,13,9
583,12,5,4,20,5,5,18,5,1,1,21,8,9,3,13,8
584,12,5,4,21,6,4,18,6,1,1,21,8,10,4,14,7
585,12,6,5,22,7,3,18,7,2,1,22,8,10,5,15,6
586,13,6,6,23,8,2,19,7,3,2,22,9,10,6,16,5
587,14,6,7,24,8,1,20,7,4,3,22,10,11,7,17,4
588,15,7,8,25,8,1,21,8,5,4,23,11,12,8,18,3
589,16,8,8,24,9,1,22,9,5,4,24,11,13,9,19,2
590,17,8,8,23,9,2,23,10,5,4,25,11,14,9,19,1
591,17,8,9,22,9,2,24,11,6,5,24,12,14,9,19,1
592,17,9,10,21,10,2,25,12,7,6,23,12,14,10,20,1
593,18,10,11,20,11,3,24,13,7,7,22,12,15,11,20,2
594,18,11,12,19,12,3,23,14,7,7,21,12,16,11,20,3
595,18,12,13,18,13,3,22,15,8,7,20,12,17,11,21,4
596,19,13,14,17,13,4,21,15,8,8,19,13,17,12,22,4
597,19,13,15,16,13,5,20,15,8,9,18,14,17,13,23,4
598,19,13,16,15,14,5,19,16,9,10,17,15,18,14,24,5
599,20,14,17,14,15,5,18,17,10,11,16,16,18,14,25,6
600,21,15,18,13,15,6,17,17,10,12,15,17,18,14,24,7
601,22,15,18,12,15,6,16,17,10,12,14,18,19,15,23,7
602,23,15,18,11,16,6,15,18,11,12,13,19,20,16,22,7
603,24,16,19,10,16,7,14,19,11,13,12,20,21,16,21,8
604,25,16,19,9,16,8,13,20,11,14,11,21,22,16,20,8
605,24,16,19,8,16,9,12,20,12,14,10,22,23,17,19,8
606,23,17,20,7,17,10,11,20,12,14,9,23,24,18,18,9
607,22,17,20,6,18,11,10,21,12,15,8,24,25,19,17,9
608,21,17,20,5,19,11,9,21,13,16,7,25,24,20,16,9
609,20,18,21,4,19,11,8,21,14,17,6,24,23,20,15,10
610,19,19,22,3,19,12,7,22,15,17,5,23,22,20,14,10
611,18,20,23,2,20,13,6,23,15,17,4,22,21,21,13,10
612,17,21,24,1,21,13,5,24,15,18,3,21,20,22,12,11
613,16,21,25,1,22,13,4,25,16,19,2,20,19,23,11,12
614,15,21,24,1,23,14,3,24,16,19,1,19,18,24,10,13
615,14,22,23,2,24,14,2,23,16,19,1,18,17,25,9,13
616,13,23,22,2,25,14,1,22,16,20,1,17,16,24,8,13
617,12,24,21,2,24,15,1,21,16,20,2,16,15,23,7,14
618,11,25,20,3,23,16,1,20,17,20,2,15,14,22,6,14
